University,Univ Rank,Locations,URLs,Top Majors,Sector,Founding,Religion,Calendar,Setting,Endorsement,Engieering,BioMed,Computer,DoubleE,BusRank,BusAcct,BusEnt,BusFin,BusMgmt,BusMarketing,BusOps,BusQuant,BusRE,BusSupply,LiberalArts,EricXu,EmilyXu
University of Florida,42,"Gainesville, FL",http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-florida-1535,"['Engineering', 'Business, Management, Marketing, and Related Support Services', 'Biological and Biomedical Sciences', 'Social Sciences', 'Communication, Journalism, and Related Programs']","Public, Coed",1853,N/A,Semester,Suburban,$1.5 billion,888,888,888,888,888,11,888,888,888,12,888,888,8,888,888,N,N
Lehigh University,46,"Bethlehem, PA",http://colleges.usnews.rankingsandreviews.com/best-colleges/lehigh-university-3289,"['Finance, General', 'Mechanical Engineering', 'Accounting', 'Psychology, General', 'Marketing/Marketing Management, General']","Private, Coed",1865,N/A,Semester,City,$1.2 billion,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
Pepperdine University,46,"Malibu, CA",http://colleges.usnews.rankingsandreviews.com/best-colleges/pepperdine-university-1264,"['Business, Management, Marketing, and Related Support Services', 'Communication, Journalism, and Related Programs', 'Social Sciences', 'Psychology', 'Multi/Interdisciplinary Studies']","Private, Coed",1937,Churches of Christ,Semester,Suburban,$781.3 million +,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
University of California--Davis,46,"Davis, CA",http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-california-davis-1313,"['Biological and Biomedical Sciences', 'Social Sciences', 'Psychology', 'Engineering', 'Agriculture, Agriculture Operations, and Related Sciences']","Public, Coed",1905,N/A,Quarter,City,$1.1 billion +,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
University of Miami,46,"Coral Gables, FL",http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-miami-1536,"['Business, Management, Marketing, and Related Support Services', 'Biological and Biomedical Sciences', 'Social Sciences', 'Health Professions and Related Programs', 'Communication, Journalism, and Related Programs']","Private, Coed",1925,N/A,Semester,Suburban,$844.6 million +,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
University of Wisconsin--Madison,46,"Madison, WI",http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-wisconsin-3895,"['Biology/Biological Sciences, General', 'Economics, General', 'Political Science and Government, General', 'Psychology, General', 'Speech Communication and Rhetoric']","Public, Coed",1848,N/A,Semester,City,$3.1 billion,888,888,888,888,888,888,888,888,888,10,888,888,3,888,888,N,N
Villanova University,46,"Villanova, PA",http://colleges.usnews.rankingsandreviews.com/best-colleges/villanova-3388,"['Business, Management, Marketing, and Related Support Services', 'Social Sciences', 'Engineering', 'Health Professions and Related Programs', 'Communication, Journalism, and Related Programs']","Private, Coed",1842,Roman Catholic,Semester,Suburban,$563.9 million,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,Y,Y
Pennsylvania State University--University Park,52,"University Park, PA",http://colleges.usnews.rankingsandreviews.com/best-colleges/penn-state-6965,"['Engineering', 'Business, Management, Marketing, and Related Support Services', 'Communication, Journalism, and Related Programs', 'Social Sciences', 'Computer and Information Sciences and Support Services']","Public, Coed",1855,N/A,Semester,City,$1.8 billion,888,888,888,888,888,888,888,888,888,888,12,888,888,4,888,N,N
University of Illinois--Urbana-Champaign,52,"Champaign, IL",http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-illinois-urbanachampaign-1775,"['Engineering', 'Business, Management, Marketing, and Related Support Services', 'Social Sciences', 'Communication, Journalism, and Related Programs', 'Biological and Biomedical Sciences']","Public, Coed",1867,N/A,Semester,City,$1.6 billion,6,888,5,6,888,2,888,888,888,888,888,888,888,888,888,N,N
Ohio State University--Columbus,54,"Columbus, OH",http://colleges.usnews.rankingsandreviews.com/best-colleges/ohio-state-6883,"['Psychology, General', 'Speech Communication and Rhetoric', 'Finance, General', 'Biology/Biological Sciences, General', 'Marketing/Marketing Management, General']","Public, Coed",1870,N/A,Semester,Urban,$3.7 billion,888,888,888,888,888,10,888,12,888,888,10,12,888,6,888,N,N
University of Georgia,54,"Athens, GA",http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-georgia-1598,"['Psychology, General', 'Finance, General', 'Biology/Biological Sciences, General', 'Marketing/Marketing Management, General', 'International Relations and Affairs']","Public, Coed",1785,N/A,Semester,City,$1.0 billion +,888,888,888,888,888,12,888,888,888,888,888,888,5,888,888,N,N
George Washington University,56,"Washington, DC",http://colleges.usnews.rankingsandreviews.com/best-colleges/george-washington-university-1444,"['Social Sciences', 'Business, Management, Marketing, and Related Support Services', 'Health Professions and Related Programs', 'Communication, Journalism, and Related Programs', 'Engineering']","Private, Coed",1821,N/A,Semester,Urban,$1.6 billion,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
Purdue University--West Lafayette,56,"West Lafayette, IN",http://colleges.usnews.rankingsandreviews.com/best-colleges/purdue-university-west-lafayette-1825,"['Engineering', 'Business, Management, Marketing, and Related Support Services', 'Liberal Arts and Sciences, General Studies and Humanities', 'Agriculture, Agriculture Operations, and Related Sciences', 'Engineering Technologies and Engineering-Related Fields']","Public, Coed",1869,N/A,Semester,City,$2.2 billion +,8,888,12,8,888,888,888,888,888,888,5,6,888,10,888,N,N
University of Connecticut,56,"Storrs, CT",http://colleges.usnews.rankingsandreviews.com/best-colleges/uconn-29013,"['Business, Management, Marketing, and Related Support Services', 'Health Professions and Related Programs', 'Social Sciences', 'Engineering', 'Biological and Biomedical Sciences']","Public, Coed",1881,N/A,Semester,Rural,$358.6 million,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
University of Texas--Austin,56,"Austin, TX",http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-texas-3658,"['Engineering', 'Biological and Biomedical Sciences', 'Business, Management, Marketing, and Related Support Services', 'Communication, Journalism, and Related Programs', 'Social Sciences']","Public, Coed",1883,N/A,Semester,Urban,$3.4 billion,888,888,8,10,5,1,7,5,7,4,9,9,6,9,888,N,N
University of Washington,56,"Seattle, WA",http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-washington-3798,"['Social Sciences', 'Biological and Biomedical Sciences', 'Business, Management, Marketing, and Related Support Services', 'Engineering', 'Communication, Journalism, and Related Programs']","Public, Coed",1861,N/A,Quarter,Urban,$3.0 billion +,888,11,11,888,888,888,888,888,888,888,888,888,888,888,888,N,N
Brigham Young University--Provo,61,"Provo, UT",http://colleges.usnews.rankingsandreviews.com/best-colleges/byu-3670,"['Business, Management, Marketing, and Related Support Services', 'Biological and Biomedical Sciences', 'Education', 'Engineering', 'Health Professions and Related Programs']","Private, Coed",1875,Latter Day Saints (Mormon Church),Semester,City,$1.6 billion,888,888,888,888,888,3,888,888,888,888,888,888,888,888,888,N,N
Fordham University,61,"New York, NY",http://colleges.usnews.rankingsandreviews.com/best-colleges/fordham-university-2722,"['Speech Communication and Rhetoric', 'Business Administration and Management, General', 'Psychology, General', 'Finance, General', 'Economics, General']","Private, Coed",1841,Roman Catholic,Semester,Urban,$614.9 million,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
Southern Methodist University,61,"Dallas, TX",http://colleges.usnews.rankingsandreviews.com/best-colleges/smu-3613,"['Business, Management, Marketing, and Related Support Services', 'Social Sciences', 'Communication, Journalism, and Related Programs', 'Engineering', 'Visual and Performing Arts']","Private, Coed",1911,N/A,Semester,Urban,$1.4 billion,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
Syracuse University,61,"Syracuse, NY",http://colleges.usnews.rankingsandreviews.com/best-colleges/syracuse-university-2882,"['Business, Management, Marketing, and Related Support Services', 'Communication, Journalism, and Related Programs', 'Social Sciences', 'Visual and Performing Arts', 'Engineering']","Private, Coed",1870,N/A,Semester,City,$1.2 billion,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
University of Maryland--College Park,61,"College Park, MD",http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-maryland-2103,"['Biology/Biological Sciences, General', 'Computer Engineering, General', 'Criminology', 'Economics, General', 'Finance, General']","Public, Coed",1856,N/A,Semester,Suburban,$493.3 million +,888,888,888,888,888,888,888,888,888,888,888,888,888,12,888,N,N
Worcester Polytechnic Institute,61,"Worcester, MA",http://colleges.usnews.rankingsandreviews.com/best-colleges/wpi-2233,"['Mechanical Engineering', 'Electrical and Electronics Engineering', 'Chemical Engineering', 'Bioengineering and Biomedical Engineering', 'Computer Science']","Private, Coed",1865,N/A,Quarter,City,$466.3 million +,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
Clemson University,67,"Clemson, SC",http://colleges.usnews.rankingsandreviews.com/best-colleges/clemson-university-3425,"['Business, Management, Marketing, and Related Support Services', 'Engineering', 'Biological and Biomedical Sciences', 'Agriculture, Agriculture Operations, and Related Sciences', 'Health Professions and Related Programs']","Public, Coed",1889,N/A,Semester,Suburban,$621.3 million,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
University of Pittsburgh,68,"Pittsburgh, PA",http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-pittsburgh-3379,"['Business, Management, Marketing, and Related Support Services', 'Health Professions and Related Programs', 'Engineering', 'Social Sciences', 'Biological and Biomedical Sciences']","Public, Coed",1787,N/A,Semester,Urban,$3.5 billion +,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
American University,69,"Washington, DC",http://colleges.usnews.rankingsandreviews.com/best-colleges/american-university-1434,"['International Relations and Affairs', 'Business Administration and Management, General', 'Political Science and Government, General', 'Mass Communication/Media Studies', 'Multi-/Interdisciplinary Studies, Other']","Private, Coed",1893,N/A,Semester,Suburban,$558.1 million,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
Rutgers University--New Brunswick,69,"Piscataway, NJ",http://colleges.usnews.rankingsandreviews.com/best-colleges/rutgers-new-brunswick-6964,"['Psychology, General', 'Speech Communication and Rhetoric', 'Biology/Biological Sciences, General', 'Kinesiology and Exercise Science', 'Public Health, General']","Public, Coed",1766,N/A,Semester,City,$865.9 million,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,Y,Y
Stevens Institute of Technology,69,"Hoboken, NJ",http://colleges.usnews.rankingsandreviews.com/best-colleges/stevens-institute-of-technology-2639,"['Mechanical Engineering', 'Business Administration and Management, General', 'Civil Engineering, General', 'Electrical and Electronics Engineering', 'Chemical Engineering']","Private, Coed",1870,N/A,Semester,City,$166.0 million +,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
